campus,method,year,month,day,site,side,zone,level,transect,classcode,count,fish_tl,min_tl,max_tl,observer,depth,vis,temp,surge,windwave,pctcnpy,macpyr1_4stipe,macpyr5_15stipe,macpyrgt15stipe,nerluestipes,notes
UCSB,SBTL_FISH,2007,9,19,SRI_JOHNSONS_LEE_SOUTH,E,INMID,BOT,1,ELAT,3,12,,,SCOTT HAMILTON,14.6,9,13.9,LIGHT,,1,,,,,
UCSB,SBTL_FISH,2007,9,19,SRI_JOHNSONS_LEE_SOUTH,E,INMID,BOT,1,OPIC,1,8,,,SCOTT HAMILTON,14.6,9,13.9,LIGHT,,1,,,,,
UCSB,SBTL_FISH,2007,9,19,SRI_JOHNSONS_LEE_SOUTH,E,INMID,BOT,1,SATR,1,27,,,SCOTT HAMILTON,14.6,9,13.9,LIGHT,,1,,,,,
UCSB,SBTL_FISH,2007,9,19,SRI_JOHNSONS_LEE_SOUTH,E,INMID,BOT,1,SATR,1,29,,,SCOTT HAMILTON,14.6,9,13.9,LIGHT,,1,,,,,
UCSB,SBTL_FISH,2007,9,19,SRI_JOHNSONS_LEE_SOUTH,E,INMID,BOT,1,SATR,1,30,,,SCOTT HAMILTON,14.6,9,13.9,LIGHT,,1,,,,,
UCSB,SBTL_FISH,2007,9,19,SRI_JOHNSONS_LEE_SOUTH,E,INMID,BOT,1,SATR,1,32,,,SCOTT HAMILTON,14.6,9,13.9,LIGHT,,1,,,,,
UCSB,SBTL_FISH,2007,9,19,SRI_JOHNSONS_LEE_SOUTH,E,INMID,BOT,1,SCAU,1,32,,,SCOTT HAMILTON,14.6,9,13.9,LIGHT,,1,,,,,
UCSB,SBTL_FISH,2007,9,19,SRI_JOHNSONS_LEE_SOUTH,E,INMID,BOT,1,SCAU,1,34,,,SCOTT HAMILTON,14.6,9,13.9,LIGHT,,1,,,,,
UCSB,SBTL_FISH,2007,9,19,SRI_JOHNSONS_LEE_SOUTH,E,INMID,BOT,1,SPUL,1,31,,,SCOTT HAMILTON,14.6,9,13.9,LIGHT,,1,,,,,FEMALE
UCSB,SBTL_FISH,2007,9,19,SRI_JOHNSONS_LEE_SOUTH,E,INMID,BOT,2,BRAY,1,80,,,SCOTT HAMILTON,13.4,9,13.9,LIGHT,,2,,,,,
UCSB,SBTL_FISH,2007,9,19,SRI_JOHNSONS_LEE_SOUTH,E,INMID,BOT,2,DVAC,1,18,,,SCOTT HAMILTON,13.4,9,13.9,LIGHT,,2,,,,,
UCSB,SBTL_FISH,2007,9,19,SRI_JOHNSONS_LEE_SOUTH,E,INMID,BOT,2,EJAC,1,29,,,SCOTT HAMILTON,13.4,9,13.9,LIGHT,,2,,,,,
UCSB,SBTL_FISH,2007,9,19,SRI_JOHNSONS_LEE_SOUTH,E,INMID,BOT,2,ELAT,1,10,,,SCOTT HAMILTON,13.4,9,13.9,LIGHT,,2,,,,,
UCSB,SBTL_FISH,2007,9,19,SRI_JOHNSONS_LEE_SOUTH,E,INMID,BOT,2,ELAT,2,14,,,SCOTT HAMILTON,13.4,9,13.9,LIGHT,,2,,,,,
